"IR1","RED1","IR2","RED2","IR3","RED3","IR4","RED4"
1329,1723,36813,42829,161116,185532,235905,262143
1340,1730,36803,42822,161116,185532,235823,262143
1340,1730,36726,42725,161148,185459,236215,262143
1349,1726,36726,42725,160923,185301,236215,262143
1346,1720,36674,42712,160571,184901,236079,262143
1346,1720,36561,42596,160539,184878,233907,260036
1345,1728,36546,42563,160554,184880,233868,259940
1340,1732,36481,42500,160683,185010,233862,259942
1340,1732,36432,42450,160707,185032,235177,261372
1345,1784,36432,42450,160687,185040,235177,261372
1355,1731,36462,42396,160687,185040,235431,261511
1355,1731,36407,42413,160607,185033,236839,262143
1357,1710,36407,42413,160839,185223,236839,262143
1355,1731,36363,42407,160839,185223,237006,262143
1355,1731,36389,42409,160886,185209,238368,262143
1350,1797,36389,42409,160863,185215,238368,262143
1341,1729,36351,42406,160863,185215,238598,262143
1341,1729,36396,42396,160892,185171,238765,262143
1292,1727,36396,42396,160923,185149,238902,262143
1342,1729,36419,42382,160923,185149,239016,262143
1342,1729,36356,42361,160964,185149,238674,262143
1342,1736,36356,42361,161185,185429,238604,262143
1366,1735,36345,42341,161185,185429,238617,262143
1366,1735,36359,42347,161249,185465,238889,262143
1313,1732,36359,42347,161251,185487,238832,262143
1352,1732,36399,42315,161251,185487,238743,262143
1353,1752,36368,42374,161249,185421,238349,262143
1346,1723,36368,42374,161134,185318,238349,262143
1349,1730,36358,42371,161134,185318,238227,262143
1349,1730,36298,42311,161131,185314,239378,262143
1349,1805,36298,42311,161196,185338,239784,262143
1339,1741,36277,42306,161196,185338,240141,262143
1362,1734,36302,42308,161220,185376,240484,262143
1362,1734,36302,42308,161272,185407,241163,262143
1335,1734,36296,42367,161272,185407,241163,262143
1351,1734,36308,42324,161279,185389,241071,262143
1350,1732,36308,42324,161146,185300,240470,262143
1346,1728,36309,42280,161146,185300,240470,262143
1349,1724,36293,42302,161132,185276,240263,262143
1349,1724,36293,42302,161103,185227,238953,262143
1351,1756,36287,42356,161103,185227,238953,262143
1348,1726,36282,42290,161164,185189,238838,262143
1348,1726,36282,42290,161210,185248,239193,262143
1360,1804,36273,42353,161210,185248,239193,262143
1363,1731,36232,42249,161207,185265,239266,262143
1355,1797,36232,42249,161263,185303,239443,262143
1354,1732,36223,42287,161263,185303,239443,262143
1353,1732,36221,42227,161293,185322,239662,262143
1369,1729,36221,42227,161416,185451,242142,262143
1351,1739,36190,42206,161416,185451,242142,262143
1352,1734,36183,42180,161411,185501,242571,262143
1346,1733,36183,42180,161285,185324,242644,262143
1348,1742,36145,42185,161285,185324,242644,262143
1348,1742,36175,42184,161262,185302,242389,262143
1360,1695,36194,42159,161315,185440,240263,262143
1356,1732,36196,42173,161315,185440,239930,262143
1356,1732,36187,42176,161271,185382,239700,262143
1340,1735,36196,42166,161202,185296,240571,262143
1357,1733,36191,42177,161202,185296,240571,262143
1357,1733,36181,42166,161149,185260,240561,262143
1357,1766,36181,42166,161159,185193,241004,262143
1358,1726,36148,42167,161159,185193,241004,262143
1358,1726,36187,42181,161094,185157,241102,262143
1344,1742,36187,42181,161003,185054,240846,262143
1346,1719,36164,42183,161003,185054,240846,262143
1346,1719,36180,42163,161058,185041,240712,262143
1328,1733,36180,42163,161059,185166,242197,262143
1357,1734,36163,42177,161059,185166,242197,262143
1357,1734,36197,42194,161095,185162,243204,262143
1303,1730,36197,42194,161029,185166,250050,262143
1349,1740,36163,42194,161029,185166,250050,262143
1349,1740,36289,42270,161006,185184,250416,262143
1325,1737,36289,42270,161044,185046,249322,262143
1340,1726,36312,42342,161044,185046,249322,262143
1340,1726,36367,42370,161043,184991,248878,262143
1328,1736,36367,42370,160784,184725,246653,262143
1362,1737,36325,42371,160784,184725,246653,262143
1362,1737,36313,42319,160851,184788,246468,262143
1307,1729,36313,42319,161029,185034,246208,262143
1346,1731,36276,42304,161029,185034,246208,262143
1346,1731,36278,42274,160984,185057,246120,262143
1383,1715,36278,42274,161056,185155,247291,262143
1345,1731,36245,42262,161056,185155,247291,262143
1345,1731,36250,42246,161027,185127,247747,262143
1339,1679,36250,42246,160721,184741,247915,262143
1354,1728,36314,42203,160721,184741,247915,262143
1354,1728,36226,42223,160631,184697,247644,262143
1348,1681,36226,42223,160456,184475,245553,262143
